date,country,cases,deaths
3/17/2003,Germany,1,0
3/17/2003,Canada,8,2
3/17/2003,Singapore,20,0
3/17/2003,China,95,1
3/17/2003,Switzerland,2,0
3/17/2003,Thailand,1,0
3/17/2003,Vietnam,40,1
3/18/2003,Germany,2,0
3/18/2003,Canada,8,2
3/18/2003,Singapore,23,0
3/18/2003,China,123,1
3/18/2003,Taiwan,3,0
3/18/2003,Thailand,1,0
3/18/2003,Vietnam,57,1
3/18/2003,Slovenia,1,0
3/18/2003,United Kingdom,1,0
3/19/2003,Canada,8,2
3/19/2003,Germany,1,0
3/19/2003,China,150,5
3/19/2003,Singapore,31,0
3/19/2003,Slovenia,1,0
3/19/2003,Spain,1,0
3/19/2003,Taiwan,3,0
3/19/2003,Thailand,1,0
3/19/2003,United Kingdom,1,0
3/19/2003,US,11,0
3/19/2003,Vietnam,56,2
3/20/2003,Canada,9,2
3/20/2003,Germany,1,0
3/20/2003,China,173,6
3/20/2003,Singapore,34,0
3/20/2003,Slovenia,1,0
3/20/2003,Spain,1,0
3/20/2003,Switzerland,7,0
3/20/2003,Taiwan,4,0
3/20/2003,Thailand,1,0
3/20/2003,United Kingdom,2,0
3/20/2003,US,11,0
3/20/2003,Vietnam,62,2
3/21/2003,Canada,9,2
3/21/2003,China,0,0
3/21/2003,Germany,1,0
3/21/2003,China,203,6
3/21/2003,Italy,1,0
3/21/2003,Ireland,1,0
3/21/2003,Singapore,39,0
3/21/2003,Slovenia,1,0
3/21/2003,Spain,1,0
3/21/2003,Switzerland,7,0
3/21/2003,Taiwan,6,0
3/21/2003,Thailand,4,0
3/21/2003,United Kingdom,2,0
3/21/2003,US,13,0
3/21/2003,Vietnam,62,2
3/22/2003,Canada,9,2
3/22/2003,Germany,2,0
3/22/2003,China,222,7
3/22/2003,Italy,2,0
3/22/2003,Ireland,1,0
3/22/2003,Singapore,44,0
3/22/2003,Slovenia,1,0
3/22/2003,Spain,1,0
3/22/2003,Switzerland,7,0
3/22/2003,Taiwan,6,0
3/22/2003,Thailand,4,0
3/22/2003,United Kingdom,2,0
3/22/2003,US,22,0
3/22/2003,Vietnam,63,2
3/24/2003,Canada,11,3
3/24/2003,France,1,0
3/24/2003,Germany,4,0
3/24/2003,China,260,10
3/24/2003,Italy,2,0
3/24/2003,Ireland,1,0
3/24/2003,Singapore,65,0
3/24/2003,Spain,1,0
3/24/2003,Switzerland,2,0
3/24/2003,Taiwan,6,0
3/24/2003,Thailand,5,0
3/24/2003,United Kingdom,3,0
3/24/2003,US,37,0
3/24/2003,Vietnam,58,4
3/25/2003,Canada,11,3
3/25/2003,France,1,0
3/25/2003,Germany,4,0
3/25/2003,China,286,10
3/25/2003,Italy,2,0
3/25/2003,Ireland,1,0
3/25/2003,Singapore,69,0
3/25/2003,Switzerland,2,0
3/25/2003,Taiwan,6,0
3/25/2003,Thailand,5,0
3/25/2003,United Kingdom,3,0
3/25/2003,US,39,0
3/25/2003,Vietnam,58,4
3/26/2003,Canada,19,3
3/26/2003,China,316,10
3/26/2003,Taiwan,6,0
3/26/2003,France,1,0
3/26/2003,Germany,4,0
3/26/2003,Italy,3,0
3/26/2003,Ireland,2,0
3/26/2003,Singapore,74,1
3/26/2003,Switzerland,2,0
3/26/2003,Thailand,3,0
3/26/2003,United Kingdom,3,0
3/26/2003,US,40,0
3/26/2003,Vietnam,58,4
3/27/2003,Canada,28,3
3/27/2003,China,367,10
3/27/2003,Taiwan,6,0
3/27/2003,France,1,0
3/27/2003,Germany,4,0
3/27/2003,Italy,2,0
3/27/2003,Ireland,2,0
3/27/2003,Romania,3,0
3/27/2003,Singapore,78,2
3/27/2003,Switzerland,2,0
3/27/2003,Thailand,3,0
3/27/2003,United Kingdom,3,0
3/27/2003,US,45,0
3/27/2003,Vietnam,58,4
3/28/2003,Canada,29,3
3/28/2003,China,425,10
3/28/2003,Taiwan,10,0
3/28/2003,France,1,0
3/28/2003,Germany,4,0
3/28/2003,Italy,2,0
3/28/2003,Ireland,2,0
3/28/2003,Romania,3,0
3/28/2003,Singapore,86,2
3/28/2003,Switzerland,2,0
3/28/2003,Thailand,3,0
3/28/2003,United Kingdom,3,0
3/28/2003,US,51,0
3/28/2003,Vietnam,58,4
3/29/2003,Canada,37,3
3/29/2003,China,470,10
3/29/2003,Taiwan,10,0
3/29/2003,France,1,0
3/29/2003,Germany,4,0
3/29/2003,Italy,2,0
3/29/2003,Ireland,2,0
3/29/2003,Romania,3,0
3/29/2003,Singapore,89,2
3/29/2003,Switzerland,3,0
3/29/2003,Thailand,3,1
3/29/2003,United Kingdom,3,0
3/29/2003,US,59,0
3/29/2003,Vietnam,58,4
3/31/2003,Canada,44,4
3/31/2003,China,530,13
3/31/2003,Taiwan,10,0
3/31/2003,France,1,0
3/31/2003,Germany,5,0
3/31/2003,Italy,2,0
3/31/2003,Ireland,2,0
3/31/2003,Romania,3,0
3/31/2003,Singapore,91,2
3/31/2003,Switzerland,3,0
3/31/2003,Thailand,5,1
3/31/2003,United Kingdom,3,0
3/31/2003,US,59,0
3/31/2003,Vietnam,58,4
4/1/2003,Australia,1,0
4/1/2003,Belgium,1,0
4/1/2003,Canada,53,4
4/1/2003,China,685,16
4/1/2003,Taiwan,13,0
4/1/2003,France,1,0
4/1/2003,Germany,5,0
4/1/2003,Italy,3,0
4/1/2003,Ireland,2,0
4/1/2003,Romania,3,0
4/1/2003,Singapore,92,3
4/1/2003,Switzerland,3,0
4/1/2003,Thailand,6,1
4/1/2003,United Kingdom,3,0
4/1/2003,US,69,0
4/1/2003,Vietnam,58,4
4/2/2003,Australia,1,0
4/2/2003,Belgium,1,0
4/2/2003,Canada,58,6
4/2/2003,China,708,16
4/2/2003,Taiwan,13,0
4/2/2003,France,1,0
4/2/2003,Germany,5,0
4/2/2003,Italy,3,0
4/2/2003,Ireland,2,0
4/2/2003,Romania,3,0
4/2/2003,Singapore,95,4
4/2/2003,Spain,1,0
4/2/2003,Switzerland,2,0
4/2/2003,Thailand,7,2
4/2/2003,United Kingdom,3,0
4/2/2003,US,72,0
4/2/2003,Vietnam,58,4
4/3/2003,Australia,1,0
4/3/2003,Belgium,1,0
4/3/2003,Brazil,1,0
4/3/2003,Canada,62,6
4/3/2003,China,734,17
4/3/2003,Taiwan,14,0
4/3/2003,France,3,0
4/3/2003,Germany,5,0
4/3/2003,Italy,3,0
4/3/2003,Ireland,1,0
4/3/2003,Romania,1,0
4/3/2003,Singapore,98,4
4/3/2003,Switzerland,2,0
4/3/2003,Thailand,7,2
4/3/2003,United Kingdom,3,0
4/3/2003,US,85,0
4/3/2003,Vietnam,59,4
4/4/2003,Australia,1,0
4/4/2003,Belgium,1,0
4/4/2003,Brazil,1,0
4/4/2003,Canada,69,7
4/4/2003,China,761,17
4/4/2003,Taiwan,15,0
4/4/2003,France,3,0
4/4/2003,Germany,5,0
4/4/2003,Italy,3,0
4/4/2003,Ireland,1,0
4/4/2003,Romania,1,0
4/4/2003,Singapore,100,5
4/4/2003,Spain,1,0
4/4/2003,Switzerland,2,0
4/4/2003,Thailand,7,2
4/4/2003,United Kingdom,3,0
4/4/2003,US,100,0
4/4/2003,Vietnam,59,4
4/5/2003,Australia,1,0
4/5/2003,Belgium,1,0
4/5/2003,Brazil,1,0
4/5/2003,Canada,74,7
4/5/2003,China,800,20
4/5/2003,Taiwan,17,0
4/5/2003,France,3,0
4/5/2003,Germany,5,0
4/5/2003,Italy,3,0
4/5/2003,Malaysia,1,1
4/5/2003,Ireland,1,0
4/5/2003,Romania,1,0
4/5/2003,Singapore,101,6
4/5/2003,Spain,1,0
4/5/2003,Switzerland,1,0
4/5/2003,Thailand,7,2
4/5/2003,United Kingdom,4,0
4/5/2003,US,115,0
4/5/2003,Vietnam,59,4
4/7/2003,Australia,1,0
4/7/2003,Brazil,1,0
4/7/2003,Canada,90,9
4/7/2003,China,883,23
4/7/2003,Taiwan,21,0
4/7/2003,France,3,0
4/7/2003,Germany,5,0
4/7/2003,Italy,3,0
4/7/2003,Malaysia,1,1
4/7/2003,Ireland,1,0
4/7/2003,Romania,1,0
4/7/2003,Singapore,106,6
4/7/2003,Spain,1,0
4/7/2003,Switzerland,1,0
4/7/2003,Thailand,7,2
4/7/2003,United Kingdom,5,0
4/7/2003,US,141,0
4/7/2003,Vietnam,62,4
4/8/2003,Australia,1,0
4/8/2003,Brazil,1,0
4/8/2003,Canada,91,10
4/8/2003,China,928,25
4/8/2003,Taiwan,19,0
4/8/2003,France,4,0
4/8/2003,Germany,5,0
4/8/2003,Italy,3,0
4/8/2003,Malaysia,1,1
4/8/2003,Ireland,1,0
4/8/2003,Romania,1,0
4/8/2003,Singapore,113,8
4/8/2003,Spain,1,0
4/8/2003,Switzerland,1,0
4/8/2003,Thailand,7,2
4/8/2003,United Kingdom,5,0
4/8/2003,US,148,0
4/8/2003,Vietnam,62,4
4/9/2003,Brazil,1,0
4/9/2003,Canada,94,10
4/9/2003,China,970,27
4/9/2003,Taiwan,19,0
4/9/2003,France,4,0
4/9/2003,Germany,5,0
4/9/2003,Italy,3,0
4/9/2003,Malaysia,1,1
4/9/2003,Ireland,1,0
4/9/2003,Romania,1,0
4/9/2003,Singapore,118,9
4/9/2003,Spain,1,0
4/9/2003,Switzerland,1,0
4/9/2003,Thailand,7,2
4/9/2003,United Kingdom,5,0
4/9/2003,US,149,0
4/9/2003,Vietnam,62,4
4/10/2003,Brazil,2,0
4/10/2003,Canada,97,10
4/10/2003,China,998,30
4/10/2003,Taiwan,19,0
4/10/2003,France,4,0
4/10/2003,Germany,6,0
4/10/2003,Italy,3,0
4/10/2003,Kuwait,1,0
4/10/2003,Malaysia,3,1
4/10/2003,Ireland,1,0
4/10/2003,Romania,1,0
4/10/2003,Singapore,126,9
4/10/2003,Spain,1,0
4/10/2003,Switzerland,1,0
4/10/2003,Thailand,7,2
4/10/2003,United Kingdom,5,0
4/10/2003,US,154,0
4/10/2003,Vietnam,62,4
4/11/2003,Brazil,2,0
4/11/2003,Canada,98,10
4/11/2003,China,1059,32
4/11/2003,Taiwan,21,0
4/11/2003,France,5,0
4/11/2003,Germany,6,0
4/11/2003,Italy,3,0
4/11/2003,Japan,4,0
4/11/2003,Kuwait,1,0
4/11/2003,Malaysia,4,1
4/11/2003,Ireland,1,0
4/11/2003,Romania,1,0
4/11/2003,Singapore,133,9
4/11/2003,South Africa,1,0
4/11/2003,Spain,1,0
4/11/2003,Switzerland,1,0
4/11/2003,Thailand,7,2
4/11/2003,United Kingdom,5,0
4/11/2003,US,166,0
4/11/2003,Vietnam,62,4
4/12/2003,Brazil,2,0
4/12/2003,Canada,101,10
4/12/2003,China,1108,35
4/12/2003,Taiwan,23,0
4/12/2003,France,5,0
4/12/2003,Germany,6,0
4/12/2003,Italy,3,0
4/12/2003,Japan,4,0
4/12/2003,Kuwait,1,0
4/12/2003,Malaysia,4,1
4/12/2003,Ireland,1,0
4/12/2003,Romania,1,0
4/12/2003,Singapore,147,9
4/12/2003,South Africa,1,0
4/12/2003,Spain,1,0
4/12/2003,Switzerland,1,0
4/12/2003,Thailand,8,2
4/12/2003,United Kingdom,6,0
4/12/2003,US,166,0
4/14/2003,Brazil,2,0
4/14/2003,Canada,100,13
4/14/2003,China,1190,47
4/14/2003,Taiwan,23,0
4/14/2003,France,5,0
4/14/2003,Germany,6,0
4/14/2003,Indonesia,1,0
4/14/2003,Italy,3,0
4/14/2003,Kuwait,1,0
4/14/2003,Malaysia,4,1
4/14/2003,Philippines,1,0
4/14/2003,Ireland,1,0
4/14/2003,Romania,1,0
4/14/2003,Singapore,158,12
4/14/2003,South Africa,1,0
4/14/2003,Spain,1,0
4/14/2003,Sweden,1,0
4/14/2003,Switzerland,1,0
4/14/2003,Thailand,8,2
4/14/2003,United Kingdom,6,0
4/14/2003,US,174,0
4/14/2003,Vietnam,63,5
4/15/2003,Brazil,2,0
4/15/2003,Canada,100,13
4/15/2003,China,1232,56
4/15/2003,Taiwan,23,0
4/15/2003,France,5,0
4/15/2003,Germany,6,0
4/15/2003,Indonesia,1,0
4/15/2003,Italy,3,0
4/15/2003,Japan,1,0
4/15/2003,Kuwait,1,0
4/15/2003,Malaysia,4,1
4/15/2003,Philippines,1,0
4/15/2003,Ireland,1,0
4/15/2003,Romania,1,0
4/15/2003,Singapore,162,13
4/15/2003,South Africa,1,0
4/15/2003,Spain,1,0
4/15/2003,Sweden,1,0
4/15/2003,Switzerland,1,0
4/15/2003,Thailand,8,2
4/15/2003,United Kingdom,6,0
4/15/2003,US,193,0
4/15/2003,Vietnam,63,5
4/16/2003,Brazil,2,0
4/16/2003,Canada,103,13
4/16/2003,China,1268,61
4/16/2003,Taiwan,27,0
4/16/2003,France,5,0
4/16/2003,Germany,6,0
4/16/2003,Indonesia,1,0
4/16/2003,Italy,3,0
4/16/2003,Japan,1,0
4/16/2003,Kuwait,1,0
4/16/2003,Malaysia,5,1
4/16/2003,Philippines,1,0
4/16/2003,Ireland,1,0
4/16/2003,Romania,1,0
4/16/2003,Singapore,162,13
4/16/2003,South Africa,1,0
4/16/2003,Spain,1,0
4/16/2003,Sweden,1,0
4/16/2003,Switzerland,1,0
4/16/2003,Thailand,8,2
4/16/2003,United Kingdom,6,0
4/16/2003,US,193,0
4/16/2003,Vietnam,63,5
4/17/2003,Australia,3,0
4/17/2003,Brazil,2,0
4/17/2003,Canada,126,12
4/17/2003,China,1297,65
4/17/2003,Taiwan,27,0
4/17/2003,France,5,0
4/17/2003,Germany,6,0
4/17/2003,India,1,0
4/17/2003,Indonesia,1,0
4/17/2003,Italy,3,0
4/17/2003,Japan,2,0
4/17/2003,Kuwait,1,0
4/17/2003,Malaysia,5,1
4/17/2003,Mongolia,3,0
4/17/2003,Philippines,1,0
4/17/2003,Ireland,1,0
4/17/2003,Romania,1,0
4/17/2003,Singapore,167,15
4/17/2003,South Africa,1,0
4/17/2003,Spain,1,0
4/17/2003,Sweden,1,0
4/17/2003,Switzerland,1,0
4/17/2003,Thailand,8,2
4/17/2003,United Kingdom,6,0
4/17/2003,US,199,0
4/17/2003,Vietnam,63,5
4/18/2003,Australia,3,0
4/18/2003,Brazil,2,0
4/18/2003,Canada,132,12
4/18/2003,China,1358,81
4/18/2003,Taiwan,29,0
4/18/2003,France,5,0
4/18/2003,Germany,6,0
4/18/2003,India,1,0
4/18/2003,Indonesia,1,0
4/18/2003,Italy,3,0
4/18/2003,Japan,4,0
4/18/2003,Kuwait,1,0
4/18/2003,Malaysia,5,1
4/18/2003,Mongolia,3,0
4/18/2003,Philippines,1,0
4/18/2003,Ireland,1,0
4/18/2003,Romania,1,0
4/18/2003,Singapore,177,16
4/18/2003,South Africa,1,0
4/18/2003,Spain,1,0
4/18/2003,Sweden,3,0
4/18/2003,Switzerland,1,0
4/18/2003,Thailand,7,2
4/18/2003,United Kingdom,6,0
4/18/2003,US,220,0
4/18/2003,Vietnam,63,5
4/19/2003,Australia,3,0
4/19/2003,Brazil,2,0
4/19/2003,Canada,132,12
4/19/2003,China,1358,81
4/19/2003,Taiwan,29,0
4/19/2003,France,5,0
4/19/2003,Germany,6,0
4/19/2003,India,1,0
4/19/2003,Indonesia,1,0
4/19/2003,Italy,3,0
4/19/2003,Japan,4,0
4/19/2003,Kuwait,1,0
4/19/2003,Malaysia,5,1
4/19/2003,Mongolia,3,0
4/19/2003,Philippines,1,0
4/19/2003,Ireland,1,0
4/19/2003,Romania,1,0
4/19/2003,Singapore,177,16
4/19/2003,South Africa,1,0
4/19/2003,Spain,1,0
4/19/2003,Sweden,3,0
4/19/2003,Switzerland,1,0
4/19/2003,Thailand,7,2
4/19/2003,United Kingdom,6,0
4/19/2003,US,220,0
4/19/2003,Vietnam,63,5
4/21/2003,Australia,3,0
4/21/2003,Brazil,2,0
4/21/2003,Canada,132,12
4/21/2003,China,1402,94
4/21/2003,Taiwan,29,0
4/21/2003,France,5,0
4/21/2003,Germany,6,0
4/21/2003,India,1,0
4/21/2003,Indonesia,1,0
4/21/2003,Italy,3,0
4/21/2003,Japan,5,0
4/21/2003,Kuwait,1,0
4/21/2003,Malaysia,6,1
4/21/2003,Mongolia,3,0
4/21/2003,Philippines,2,1
4/21/2003,Ireland,1,0
4/21/2003,Romania,1,0
4/21/2003,Singapore,178,16
4/21/2003,South Africa,1,0
4/21/2003,Spain,1,0
4/21/2003,Sweden,3,0
4/21/2003,Switzerland,1,0
4/21/2003,Thailand,7,2
4/21/2003,United Kingdom,6,0
4/21/2003,US,39,0
4/21/2003,Vietnam,63,5
4/22/2003,Australia,3,0
4/22/2003,Brazil,2,0
4/22/2003,Canada,139,13
4/22/2003,China,1434,99
4/22/2003,Taiwan,29,0
4/22/2003,France,5,0
4/22/2003,Germany,7,0
4/22/2003,India,1,0
4/22/2003,Indonesia,1,0
4/22/2003,Italy,3,0
4/22/2003,Japan,2,0
4/22/2003,Kuwait,1,0
4/22/2003,Malaysia,6,1
4/22/2003,Mongolia,3,0
4/22/2003,Philippines,2,1
4/22/2003,Ireland,1,0
4/22/2003,Romania,1,0
4/22/2003,Singapore,186,16
4/22/2003,South Africa,1,0
4/22/2003,Spain,1,0
4/22/2003,Sweden,3,0
4/22/2003,Switzerland,1,0
4/22/2003,Thailand,7,2
4/22/2003,United Kingdom,6,0
4/22/2003,US,38,0
4/22/2003,Vietnam,63,5
4/23/2003,Australia,4,0
4/23/2003,Brazil,2,0
4/23/2003,Canada,140,13
4/23/2003,China,1458,105
4/23/2003,Taiwan,37,0
4/23/2003,France,5,0
4/23/2003,Germany,7,0
4/23/2003,India,1,0
4/23/2003,Indonesia,1,0
4/23/2003,Italy,3,0
4/23/2003,Japan,2,0
4/23/2003,Kuwait,1,0
4/23/2003,Malaysia,5,2
4/23/2003,Mongolia,3,0
4/23/2003,Philippines,2,1
4/23/2003,Ireland,1,0
4/23/2003,Romania,1,0
4/23/2003,Singapore,189,17
4/23/2003,South Africa,1,0
4/23/2003,Spain,1,0
4/23/2003,Sweden,3,0
4/23/2003,Switzerland,1,0
4/23/2003,Thailand,7,2
4/23/2003,United Kingdom,6,0
4/23/2003,US,39,0
4/23/2003,Vietnam,63,5
4/24/2003,Brazil,2,0
4/24/2003,Bulgaria,1,0
4/24/2003,Canada,140,15
4/24/2003,China,1488,109
4/24/2003,Taiwan,37,0
4/24/2003,France,5,0
4/24/2003,Germany,7,0
4/24/2003,India,1,0
4/24/2003,Indonesia,1,0
4/24/2003,Italy,4,0
4/24/2003,Japan,2,0
4/24/2003,Kuwait,1,0
4/24/2003,Malaysia,5,2
4/24/2003,Mongolia,3,0
4/24/2003,Philippines,2,1
4/24/2003,Ireland,1,0
4/24/2003,Romania,1,0
4/24/2003,Singapore,192,19
4/24/2003,South Africa,1,0
4/24/2003,Spain,1,0
4/24/2003,Sweden,3,0
4/24/2003,Switzerland,1,0
4/24/2003,Thailand,8,2
4/24/2003,United Kingdom,6,0
4/24/2003,US,37,0
4/24/2003,Vietnam,63,5
4/25/2003,Brazil,2,0
4/25/2003,Bulgaria,1,0
4/25/2003,Canada,140,15
4/25/2003,China,1510,115
4/25/2003,Taiwan,41,0
4/25/2003,France,5,0
4/25/2003,Germany,7,0
4/25/2003,India,1,0
4/25/2003,Indonesia,1,0
4/25/2003,Italy,4,0
4/25/2003,Japan,2,0
4/25/2003,Kuwait,1,0
4/25/2003,Malaysia,5,2
4/25/2003,Mongolia,3,0
4/25/2003,Philippines,2,1
4/25/2003,Ireland,1,0
4/25/2003,Romania,1,0
4/25/2003,Singapore,195,19
4/25/2003,South Africa,1,0
4/25/2003,Spain,1,0
4/25/2003,Sweden,3,0
4/25/2003,Switzerland,1,0
4/25/2003,Thailand,8,2
4/25/2003,United Kingdom,6,0
4/25/2003,US,39,0
4/25/2003,Vietnam,63,5
4/26/2003,Brazil,2,0
4/26/2003,Bulgaria,1,0
4/26/2003,Canada,142,18
4/26/2003,China,1527,121
4/26/2003,Taiwan,49,0
4/26/2003,France,5,0
4/26/2003,Germany,7,0
4/26/2003,India,1,0
4/26/2003,Indonesia,1,0
4/26/2003,Italy,4,0
4/26/2003,Japan,2,0
4/26/2003,Kuwait,1,0
4/26/2003,Malaysia,5,2
4/26/2003,Mongolia,5,0
4/26/2003,Philippines,4,2
4/26/2003,Ireland,1,0
4/26/2003,Romania,1,0
4/26/2003,Singapore,198,21
4/26/2003,South Africa,1,0
4/26/2003,Spain,1,0
4/26/2003,Sweden,3,0
4/26/2003,Switzerland,1,0
4/26/2003,Thailand,7,2
4/26/2003,United Kingdom,6,0
4/26/2003,US,41,0
4/26/2003,Vietnam,63,5
4/28/2003,Brazil,2,0
4/28/2003,Bulgaria,1,0
4/28/2003,Canada,142,18
4/28/2003,China,1557,138
4/28/2003,Taiwan,66,0
4/28/2003,France,5,0
4/28/2003,Germany,7,0
4/28/2003,India,1,0
4/28/2003,Indonesia,1,0
4/28/2003,Italy,8,0
4/28/2003,Japan,2,0
4/28/2003,Kuwait,1,0
4/28/2003,Malaysia,6,2
4/28/2003,Mongolia,5,0
4/28/2003,Philippines,4,2
4/28/2003,Ireland,1,0
4/28/2003,Romania,1,0
4/28/2003,Singapore,199,23
4/28/2003,South Africa,1,0
4/28/2003,Spain,1,0
4/28/2003,Sweden,3,0
4/28/2003,Switzerland,1,0
4/28/2003,Thailand,7,2
4/28/2003,United Kingdom,6,0
4/28/2003,US,41,0
4/28/2003,Vietnam,63,5
4/29/2003,Brazil,2,0
4/29/2003,Bulgaria,1,0
4/29/2003,Canada,146,20
4/29/2003,China,1572,150
4/29/2003,Taiwan,66,0
4/29/2003,France,5,0
4/29/2003,Germany,7,0
4/29/2003,India,1,0
4/29/2003,Indonesia,1,0
4/29/2003,Italy,9,0
4/29/2003,Japan,2,0
4/29/2003,Kuwait,1,0
4/29/2003,Malaysia,6,2
4/29/2003,Mongolia,5,0
4/29/2003,Philippines,4,2
4/29/2003,Ireland,1,0
4/29/2003,Korea,1,0
4/29/2003,Romania,1,0
4/29/2003,Singapore,201,24
4/29/2003,South Africa,1,0
4/29/2003,Spain,1,0
4/29/2003,Sweden,3,0
4/29/2003,Switzerland,1,0
4/29/2003,Thailand,7,2
4/29/2003,United Kingdom,6,0
4/29/2003,US,41,0
4/29/2003,Vietnam,63,5
4/30/2003,Brazil,2,0
4/30/2003,Bulgaria,1,0
4/30/2003,Canada,148,20
4/30/2003,China,1589,157
4/30/2003,Taiwan,78,1
4/30/2003,France,5,0
4/30/2003,Germany,7,0
4/30/2003,Indonesia,2,0
4/30/2003,Italy,9,0
4/30/2003,Japan,2,0
4/30/2003,Kuwait,1,0
4/30/2003,Malaysia,6,2
4/30/2003,Mongolia,6,0
4/30/2003,Philippines,4,2
4/30/2003,Ireland,1,0
4/30/2003,Korea,1,0
4/30/2003,Romania,1,0
4/30/2003,Singapore,201,24
4/30/2003,South Africa,1,0
4/30/2003,Spain,1,0
4/30/2003,Sweden,3,0
4/30/2003,Switzerland,1,0
4/30/2003,Thailand,7,2
4/30/2003,United Kingdom,6,0
4/30/2003,US,52,0
4/30/2003,Vietnam,63,5
5/1/2003,Brazil,2,0
5/1/2003,Bulgaria,1,0
5/1/2003,Canada,147,20
5/1/2003,China,1600,162
5/1/2003,Taiwan,89,3
5/1/2003,France,5,0
5/1/2003,Germany,7,0
5/1/2003,Indonesia,2,0
5/1/2003,Italy,9,0
5/1/2003,Japan,2,0
5/1/2003,Kuwait,1,0
5/1/2003,Malaysia,6,2
5/1/2003,Mongolia,6,0
5/1/2003,Philippines,4,2
5/1/2003,Poland,1,0
5/1/2003,Ireland,1,0
5/1/2003,Korea,1,0
5/1/2003,Romania,1,0
5/1/2003,Singapore,201,25
5/1/2003,South Africa,1,0
5/1/2003,Spain,1,0
5/1/2003,Sweden,3,0
5/1/2003,Switzerland,1,0
5/1/2003,Thailand,7,2
5/1/2003,United Kingdom,6,0
5/1/2003,US,54,0
5/1/2003,Vietnam,63,5
5/2/2003,Brazil,2,0
5/2/2003,Bulgaria,1,0
5/2/2003,Canada,149,22
5/2/2003,China,1611,170
5/2/2003,Taiwan,100,8
5/2/2003,France,5,0
5/2/2003,Germany,7,0
5/2/2003,Indonesia,2,0
5/2/2003,Italy,9,0
5/2/2003,Kuwait,1,0
5/2/2003,Malaysia,6,2
5/2/2003,Mongolia,8,0
5/2/2003,New Zealand,1,0
5/2/2003,Philippines,3,2
5/2/2003,Poland,1,0
5/2/2003,Ireland,1,0
5/2/2003,Korea,1,0
5/2/2003,Romania,1,0
5/2/2003,Singapore,203,25
5/2/2003,South Africa,1,0
5/2/2003,Spain,1,0
5/2/2003,Sweden,3,0
5/2/2003,Switzerland,1,0
5/2/2003,Thailand,7,2
5/2/2003,United Kingdom,6,0
5/2/2003,US,56,0
5/2/2003,Vietnam,63,5
